epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
147,75.6165,0.34552,0.43141,0.9045,0.98508,1,0.995,0.93991,0.2783,0.38352,0.84039,0.0005182,0.0005182,0.0005182
148,76.1464,0.28262,0.38326,0.91132,0.98514,1,0.995,0.995,0.24423,0.35628,0.82529,0.0005149,0.0005149,0.0005149
149,76.7912,0.31099,0.34463,0.91153,0.98514,1,0.995,0.995,0.24423,0.35628,0.82529,0.0005116,0.0005116,0.0005116
150,77.2412,0.2581,0.31655,0.89831,0.98514,1,0.995,0.995,0.24423,0.35628,0.82529,0.0005083,0.0005083,0.0005083
151,77.672,0.25475,0.33864,0.88161,0.98514,1,0.995,0.995,0.24423,0.35628,0.82529,0.000505,0.000505,0.000505
152,78.1628,0.26259,0.30092,0.89302,0.98584,1,0.995,0.995,0.20472,0.3212,0.82001,0.0005017,0.0005017,0.0005017
153,78.6027,0.25691,0.30832,0.88853,0.98584,1,0.995,0.995,0.20472,0.3212,0.82001,0.0004984,0.0004984,0.0004984
154,79.1387,0.22479,0.31342,0.85715,0.98584,1,0.995,0.995,0.20472,0.3212,0.82001,0.0004951,0.0004951,0.0004951
155,79.5876,0.30827,0.33569,0.93479,0.98584,1,0.995,0.995,0.20472,0.3212,0.82001,0.0004918,0.0004918,0.0004918
156,80.1311,0.29483,0.33873,0.84976,0.98672,1,0.995,0.995,0.21782,0.34153,0.82226,0.0004885,0.0004885,0.0004885
157,80.6744,0.29436,0.35565,0.86634,0.98672,1,0.995,0.995,0.21782,0.34153,0.82226,0.0004852,0.0004852,0.0004852
158,81.2024,0.28392,0.44883,0.90166,0.98672,1,0.995,0.995,0.21782,0.34153,0.82226,0.0004819,0.0004819,0.0004819
159,81.705,0.26678,0.31193,0.90216,0.98672,1,0.995,0.995,0.21782,0.34153,0.82226,0.0004786,0.0004786,0.0004786
160,82.2354,0.28602,0.36124,0.89499,0.98655,1,0.995,0.995,0.22433,0.37275,0.82639,0.0004753,0.0004753,0.0004753
161,82.6825,0.2508,0.31187,0.84944,0.98655,1,0.995,0.995,0.22433,0.37275,0.82639,0.000472,0.000472,0.000472
162,83.1135,0.27671,0.38308,0.89061,0.98655,1,0.995,0.995,0.22433,0.37275,0.82639,0.0004687,0.0004687,0.0004687
163,83.5342,0.25687,0.35806,0.89519,0.98655,1,0.995,0.995,0.22433,0.37275,0.82639,0.0004654,0.0004654,0.0004654
164,84.0157,0.27608,0.32325,0.89157,0.98621,1,0.995,0.995,0.24697,0.38903,0.85473,0.0004621,0.0004621,0.0004621
165,84.5728,0.27337,0.31076,0.89951,0.98621,1,0.995,0.995,0.24697,0.38903,0.85473,0.0004588,0.0004588,0.0004588
166,85.0586,0.34139,0.34819,0.91743,0.98621,1,0.995,0.995,0.24697,0.38903,0.85473,0.0004555,0.0004555,0.0004555
167,85.5232,0.27792,0.31386,0.87599,0.98621,1,0.995,0.995,0.24697,0.38903,0.85473,0.0004522,0.0004522,0.0004522
168,86.0114,0.21281,0.30204,0.86615,0.98646,1,0.995,0.93991,0.27844,0.42372,0.89606,0.0004489,0.0004489,0.0004489
169,86.4465,0.25514,0.29163,0.88352,0.98646,1,0.995,0.93991,0.27844,0.42372,0.89606,0.0004456,0.0004456,0.0004456
170,86.9598,0.33116,0.34679,0.88598,0.98646,1,0.995,0.93991,0.27844,0.42372,0.89606,0.0004423,0.0004423,0.0004423
